code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
588300,Bařice-Velké Těšany,374,269,268,15,0,1,20,0,20,30,1,1,3,0,0,17,0,9,71,0,1,30,2,0,0,46,1
588326,Bezměrov,426,270,264,20,0,0,21,0,1,21,0,4,2,0,0,22,0,6,86,1,1,25,3,1,0,47,3
542318,Blazice,172,120,120,10,0,0,7,1,9,11,1,0,0,1,0,6,0,2,26,0,3,16,0,0,1,26,0
549690,Bořenovice,149,100,99,5,0,0,8,0,1,11,3,0,5,0,0,5,0,1,31,0,0,14,1,0,0,14,0
588377,Brusné,301,197,196,4,0,0,9,2,5,38,0,1,5,1,0,25,0,2,48,0,0,17,0,3,0,36,0
588385,Břest,756,500,491,59,1,0,26,0,11,32,5,5,8,0,1,26,0,13,155,0,0,85,3,1,0,60,0
588393,Bystřice pod Hostýnem,6871,4177,4150,389,8,2,266,4,164,315,49,16,33,11,4,283,5,108,1248,7,5,333,15,2,2,864,17
588407,Cetechovice,157,79,79,5,0,1,2,0,6,9,0,3,0,0,0,4,0,0,27,0,1,12,0,0,3,6,0
588431,Dřínov,357,217,216,7,0,0,22,0,10,46,2,2,1,0,0,7,0,1,69,0,0,16,0,0,2,31,0
588458,Holešov,9540,5763,5697,460,22,2,566,6,240,554,54,26,81,5,6,454,10,180,1636,3,7,502,30,10,8,816,19
542342,Honětice,52,31,31,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,18,0,0,1,0,0,0,5,0
588474,Horní Lapač,211,141,139,9,0,0,8,0,5,17,1,0,2,0,0,4,0,0,32,0,0,34,2,1,0,23,1
588482,Hoštice,125,87,87,2,0,0,9,0,3,18,0,1,6,0,0,2,0,0,16,0,0,1,1,0,0,28,0
588491,Hulín,5699,3284,3245,419,7,0,217,3,89,301,31,23,52,7,6,198,5,50,1016,1,9,213,16,9,8,549,16
588504,Chomýž,298,191,191,5,0,0,11,0,4,13,1,0,3,0,1,18,0,4,68,0,0,25,0,0,0,38,0
588512,Chropyně,4068,2445,2406,175,7,2,170,2,62,280,35,20,26,4,2,143,0,34,856,6,5,94,25,4,17,424,13
506737,Chvalčov,1397,862,858,98,2,1,42,0,39,53,20,3,17,0,6,53,1,19,278,1,0,49,7,0,1,164,4
588547,Chvalnov-Lísky,199,114,114,10,0,0,7,0,5,12,0,0,2,0,0,10,0,7,22,0,1,18,0,0,1,17,2
588555,Jankovice,312,215,213,14,0,1,16,0,10,12,4,1,7,0,0,22,0,7,59,2,0,16,0,0,1,40,1
588563,Jarohněvice,240,164,164,17,0,0,20,0,1,11,3,1,3,0,0,12,1,6,45,0,0,18,1,0,0,25,0
587354,Karolín,193,126,125,7,2,0,9,0,4,10,2,0,1,0,0,21,0,4,29,0,2,18,0,0,0,16,0
588598,Komárno,258,171,171,11,0,0,23,0,15,8,1,1,1,0,2,10,0,0,39,0,2,34,0,1,0,21,2
588601,Koryčany,2292,1277,1270,80,1,0,147,2,70,204,7,16,21,4,1,100,0,26,320,1,2,92,2,5,6,160,3
588521,Kostelany,514,323,319,20,6,0,20,0,11,30,3,7,1,0,0,24,0,14,111,0,0,24,0,2,4,41,1
588610,Kostelec u Holešova,821,507,503,39,1,0,36,0,12,49,3,2,5,0,1,27,2,9,147,0,4,79,1,0,2,82,2
588296,Kroměříž,24150,14796,14650,1450,37,9,1118,14,499,1231,266,75,218,7,60,1347,15,526,4409,6,18,1172,102,33,26,1940,72
588628,Kunkovice,60,38,36,1,0,0,1,0,1,5,0,0,1,0,0,4,0,1,10,0,0,4,0,0,0,8,0
588636,Kurovice,216,154,153,6,0,0,9,0,6,19,0,0,2,0,0,2,0,3,82,0,0,16,0,0,0,8,0
588644,Kvasice,1832,1091,1084,98,1,2,75,0,53,88,17,10,10,1,0,74,0,24,383,0,0,91,7,2,1,141,6
588652,Kyselovice,403,246,244,15,0,0,10,1,16,33,1,2,3,0,0,14,0,8,79,0,1,35,1,0,1,24,0
588661,Lechotice,319,185,183,6,0,0,13,0,3,7,1,0,3,0,0,10,0,3,71,0,0,23,7,0,0,33,3
588695,Litenčice,384,238,236,6,1,0,17,0,67,26,4,2,2,3,0,15,0,5,51,0,0,15,0,0,0,20,2
588709,Loukov,771,465,464,33,0,0,25,0,56,31,6,1,10,1,0,30,0,9,112,0,0,51,4,2,0,93,0
588717,Lubná,365,218,217,22,0,0,5,0,9,16,2,1,2,0,0,14,0,4,71,0,0,19,1,0,0,50,1
588725,Ludslavice,402,246,243,21,0,0,12,0,9,16,3,5,3,0,1,9,0,9,79,0,0,34,5,0,1,35,1
588733,Lutopecny,480,310,306,18,1,0,21,0,14,37,3,1,0,0,0,18,0,7,96,0,0,46,0,0,0,41,3
588741,Martinice,602,410,410,26,0,0,29,0,21,27,4,2,8,0,1,33,0,8,132,1,0,48,4,0,1,64,1
588750,Míškovice,498,329,329,39,0,0,13,0,19,16,4,2,8,0,0,16,0,5,94,1,0,42,1,1,0,65,3
588768,Morkovice-Slížany,2342,1377,1369,55,2,0,79,1,47,237,22,6,19,3,1,113,2,18,394,0,2,111,8,2,2,237,8
553905,Mrlínek,236,163,163,11,0,0,11,0,1,14,0,0,1,0,0,9,0,0,40,0,0,8,1,0,0,67,0
588784,Němčice,296,182,180,24,0,0,13,0,4,18,2,0,0,0,0,12,0,2,65,0,3,12,0,0,0,25,0
588806,Nítkovice,213,105,105,6,0,1,6,0,6,15,2,1,6,1,0,6,0,2,35,0,0,5,2,0,0,9,2
588814,Nová Dědina,346,242,242,9,0,0,16,0,13,19,4,1,2,0,2,15,0,3,87,0,1,12,0,0,0,57,1
588822,Osíčko,368,218,212,10,0,0,6,0,18,20,0,3,1,0,0,14,0,2,70,0,0,26,0,1,0,40,1
588831,Pacetluky,196,121,119,6,0,0,10,0,6,13,2,0,2,0,0,4,0,8,26,0,0,13,0,0,0,28,1
588849,Pačlavice,728,458,454,10,0,0,52,3,16,73,3,3,3,0,2,29,0,4,136,1,1,37,0,1,1,77,2
588865,Počenice-Tetětice,598,355,348,23,0,0,10,0,11,76,0,2,4,1,0,20,0,2,95,1,1,35,3,0,0,55,9
588873,Podhradní Lhota,407,229,227,21,0,0,6,0,12,11,1,1,4,0,0,21,0,6,52,1,0,54,1,1,1,33,1
587397,Prasklice,190,118,118,9,0,0,10,0,8,19,0,1,2,0,0,7,0,4,23,1,0,9,2,1,0,21,1
588890,Pravčice,620,396,392,14,2,0,35,0,11,32,11,0,6,0,2,27,1,1,142,0,2,19,2,0,0,85,0
588903,Prusinovice,967,612,607,44,0,0,39,0,30,51,4,5,17,0,2,47,0,9,164,0,1,67,4,1,1,121,0
549720,Přílepy,769,529,527,40,0,0,22,0,29,34,7,4,3,0,2,36,1,19,159,0,0,61,3,1,8,92,6
588920,Rajnochovice,439,259,258,15,1,1,19,1,15,39,2,0,7,0,0,24,1,0,66,0,1,39,2,0,0,25,0
588938,Rataje,902,607,605,34,0,2,27,1,17,70,9,1,10,1,3,53,1,16,171,0,4,80,3,3,2,93,4
588946,Roštění,549,332,325,12,0,1,23,0,6,35,2,4,5,0,2,17,1,8,124,0,1,49,2,0,2,30,1
588954,Roštín,586,317,314,40,0,0,15,0,12,34,4,2,5,0,0,16,0,8,88,0,0,23,1,1,0,64,1
588962,Rusava,519,318,315,32,0,0,26,0,12,20,4,4,0,0,1,18,0,12,93,0,0,22,3,0,0,67,1
588971,Rymice,489,310,310,24,2,0,21,0,17,15,5,1,6,1,1,21,1,13,90,1,1,45,2,0,0,43,0
588989,Skaštice,308,194,193,12,2,0,3,0,9,15,3,1,3,0,1,12,0,4,84,0,0,22,0,0,0,22,0
588997,Slavkov pod Hostýnem,506,300,300,29,1,1,9,0,9,17,3,2,3,0,0,31,0,2,98,0,0,28,5,0,0,62,0
589004,Soběsuky,281,204,201,4,1,0,23,0,9,22,4,1,1,0,1,10,0,3,62,0,1,17,1,1,0,39,1
589039,Střílky,532,341,340,25,0,2,29,4,26,38,6,0,1,0,0,33,4,5,87,0,1,26,0,4,1,44,4
589047,Střížovice,213,102,101,8,0,0,7,0,9,6,3,1,5,1,2,9,0,2,27,0,1,7,0,0,0,13,0
589055,Sulimov,129,83,83,2,1,0,2,0,6,9,0,1,1,0,0,9,0,1,11,0,0,19,0,0,0,21,0
557188,Šelešovice,256,161,160,7,0,0,6,0,3,22,4,5,2,0,2,8,0,3,58,1,0,12,0,0,0,24,3
589080,Troubky-Zdislavice,382,223,222,4,0,2,17,1,9,36,0,2,2,0,0,10,0,12,64,0,0,13,0,0,0,45,5
589098,Třebětice,219,127,127,19,0,0,7,0,8,5,2,0,0,0,2,5,0,1,44,0,0,16,0,0,0,18,0
589110,Uhřice,155,92,90,4,0,0,5,0,1,23,1,1,0,0,0,5,0,4,23,0,0,1,0,0,2,20,0
589128,Věžky,333,211,211,12,2,0,13,0,6,11,3,1,5,0,0,17,1,3,67,0,2,12,0,0,0,28,28
589136,Vítonice,364,220,218,15,0,0,21,1,17,13,1,0,3,2,0,12,0,1,75,0,1,23,0,0,0,32,1
542393,Vrbka,171,104,102,5,0,0,9,0,2,5,2,0,1,0,2,13,0,1,37,0,0,9,2,0,1,13,0
589152,Zahnašovice,259,170,170,6,0,0,12,0,4,8,0,1,2,0,0,8,0,8,63,0,1,24,0,0,1,31,1
589161,Záříčí,589,360,356,19,0,0,21,0,12,54,4,6,8,0,0,21,0,2,131,0,0,12,4,1,0,59,2
587257,Zástřizly,121,93,93,9,0,0,6,0,7,4,0,0,2,0,0,7,0,0,28,0,0,16,0,0,0,14,0
589187,Zborovice,1226,679,674,41,1,0,64,0,37,85,2,3,16,0,0,42,0,6,195,0,2,46,1,1,1,120,11
589195,Zdounky,1707,1000,990,51,1,0,62,2,61,135,7,7,16,2,0,68,1,7,287,0,5,82,13,3,2,162,16
589217,Zlobice,502,287,285,19,1,0,10,0,10,34,6,1,3,0,0,26,0,5,91,0,1,33,1,1,0,40,3
589225,Žalkovice,499,336,331,23,1,0,19,0,14,19,9,0,5,1,0,21,0,9,133,0,0,44,3,0,0,28,2
589233,Žeranovice,624,374,373,15,0,0,19,2,20,34,3,2,2,1,0,29,0,7,97,0,1,81,5,3,1,45,6
